,Player,Position,GP,PM,Salary,Log_Salary,Average PM,Average_PM
569,SAM.REINHART,Offense,167,51,2682501,14.8022601262735,0.30538922155688625,0.30538922155688625
570,SCOTT.GOMEZ,Offense,530,60,24636751,17.01974982916923,0.11320754716981132,0.11320754716981132
571,SCOTT.HANNAN,Defence,547,-214,13000000,16.38045991542581,-0.3912248628884826,-0.3912248628884826
572,SCOTT.HARTNELL,Offense,751,279,41300000,17.53637305793126,0.3715046604527297,0.3715046604527297
573,SCOTTIE.UPSHALL,Offense,600,-10,20150000,16.818714846356965,-0.016666666666666666,-0.016666666666666666
574,SEAN.BERGENHEIM,Offense,456,-51,7757392,15.864156753196804,-0.1118421052631579,-0.1118421052631579
575,SEAN.COUTURIER,Offense,416,-45,18349999,16.725140077968938,-0.10817307692307693,-0.10817307692307693
576,SEAN.MONAHAN,Offense,319,70,21825000,16.89856665968994,0.219435736677116,0.219435736677116
577,SEBASTIAN.AHO,Offense,82,18,1850000,14.430696197054507,0.21951219512195122,0.21951219512195122
578,SERGEI.GONCHAR,Defence,474,138,30259139,17.225308812515845,0.2911392405063291,0.2911392405063291
579,SETH.JONES,Defence,315,-38,18262500,16.720360335041093,-0.12063492063492064,-0.12063492063492064
580,SHANE.DOAN,Offense,736,164,38726134,17.472025227247105,0.22282608695652173,0.22282608695652173
581,SHANE.O'BRIEN,Defence,456,-53,6300000,15.65606019136176,-0.1162280701754386,-0.1162280701754386
582,SHAWN.HORCOFF,Offense,581,-28,34750000,17.363690129975076,-0.04819277108433735,-0.04819277108433735
583,SHAWN.MATTHIAS,Offense,524,-79,11917865,16.293549092820978,-0.15076335877862596,-0.15076335877862596
584,SHAWN.THORNTON,Offense,625,-27,7341667,15.809076486521358,-0.0432,-0.0432
585,SHAYNE.GOSTISBEHERE,Defence,142,64,10850000,16.199675637950744,0.4507042253521127,0.4507042253521127
586,SHEA.WEBER,Defence,734,172,71500001,18.08520802165025,0.23433242506811988,0.23433242506811988
587,SIDNEY.CROSBY,Offense,621,505,87000000,18.28141867661886,0.8132045088566827,0.8132045088566827
588,SLAVA.VOYNOV,Defence,190,54,13316664,16.404526741258117,0.28421052631578947,0.28421052631578947
589,STEPHANE.ROBIDAS,Defence,529,-21,18093846,16.71108243842295,-0.03969754253308128,-0.03969754253308128
590,STEPHEN.GIONTA,Offense,296,-64,3912500,15.179687113830546,-0.21621621621621623,-0.21621621621621623
591,STEVE.BERNIER,Offense,531,57,6591129,15.701235211987157,0.10734463276836158,0.10734463276836158
592,STEVE.DOWNIE,Offense,434,88,10182308,16.136162262446742,0.20276497695852536,0.20276497695852536
593,STEVEN.STAMKOS,Offense,586,262,64750000,17.98604425854392,0.447098976109215,0.447098976109215
594,STEVE.OTT,Offense,647,-116,16955769,16.646118687865755,-0.17928902627511592,-0.17928902627511592
595,SVEN.BAERTSCHI,Offense,206,1,4600000,15.341566861459324,0.0048543689320388345,0.0048543689320388345
596,TANNER.GLASS,Offense,510,-107,8425000,15.9467140342027,-0.20980392156862746,-0.20980392156862746
597,TANNER.PEARSON,Offense,226,49,11035833,16.21665808191051,0.2168141592920354,0.2168141592920354
598,TAYLOR.HALL,Offense,453,108,37800000,17.447819660589815,0.23841059602649006,0.23841059602649006
599,TEDDY.PURCELL,Offense,571,109,19575000,16.78976379984114,0.19089316987740806,0.19089316987740806
600,TEUVO.TERAVAINEN,Offense,196,26,7926573,15.885731343836333,0.1326530612244898,0.1326530612244898
601,THOMAS.HICKEY,Defence,340,-54,7950000,15.888682486630515,-0.1588235294117647,-0.1588235294117647
602,THOMAS.VANEK,Offense,721,269,50050915,17.728551345276678,0.37309292649098474,0.37309292649098474
603,TIM.GLEASON,Defence,544,-171,14640240,16.49928445980569,-0.31433823529411764,-0.31433823529411764
604,TIM.JACKMAN,Offense,450,-63,3349167,15.024222216164624,-0.14,-0.14
605,TIMO.MEIER,Offense,34,0,1788334,14.396795018165337,0.0,0.0
606,T.J..OSHIE,Offense,591,247,36425000,17.410765910045544,0.4179357021996616,0.4179357021996616
607,TOBIAS.ENSTROM,Defence,676,50,43750000,17.594002170767897,0.07396449704142012,0.07396449704142012
608,TOBIAS.RIEDER,Offense,234,-71,5303333,15.483846048792307,-0.3034188034188034,-0.3034188034188034
609,TOMAS.FLEISCHMANN,Offense,614,33,16015322,16.589056446973753,0.05374592833876222,0.05374592833876222
610,TOMAS.HERTL,Offense,249,43,8037634,15.899645319239738,0.17269076305220885,0.17269076305220885
611,TOMAS.JURCO,Offense,172,-2,2666667,14.796339935975993,-0.011627906976744186,-0.011627906976744186
612,TOMAS.PLEKANEC,Offense,769,105,44750000,17.616602002685138,0.13654096228868662,0.13654096228868662
613,TOMAS.TATAR,Offense,345,95,19480000,16.784898856178664,0.2753623188405797,0.2753623188405797
614,TOM.GILBERT,Defence,643,-116,22500000,16.929025867174648,-0.18040435458786935,-0.18040435458786935
615,TOM.KUHNHACKL,Offense,99,-9,1250000,14.038654109278484,-0.09090909090909091,-0.09090909090909091
616,TOMMY.WINGELS,Offense,372,-49,10412500,16.158517565457235,-0.13172043010752688,-0.13172043010752688
617,TOM.PYATT,Offense,327,-81,3925000,15.182876909198646,-0.24770642201834864,-0.24770642201834864
618,TOREY.KRUG,Defence,322,139,22383333,16.92382717737338,0.43167701863354035,0.43167701863354035
619,TORREY.MITCHELL,Offense,604,-115,8997809,16.01249166121864,-0.19039735099337748,-0.19039735099337748
620,TRAVIS.HAMONIC,Defence,444,-88,24892858,17.03009149298288,-0.1981981981981982,-0.1981981981981982
621,TRAVIS.KONECNY,Offense,70,4,1788334,14.396795018165337,0.05714285714285714,0.05714285714285714
622,TRAVIS.MOEN,Offense,544,-157,11561827,16.26321945370341,-0.28860294117647056,-0.28860294117647056
623,TRAVIS.ZAJAC,Offense,699,113,50050000,17.728533063725504,0.16165951359084407,0.16165951359084407
624,TREVOR.DALEY,Defence,711,-34,30733334,17.240858421550687,-0.04781997187060478,-0.04781997187060478
